TableName,ColumnName,PandasDataType
DIM_BANCO E CONTA,Empresa_banco,Int64
DIM_BANCO E CONTA,BCO E CONTA,string
DIM_BANCO E CONTA,Numero_banco,Int64
DIM_BANCO E CONTA,Conta_banco,string
DIM_BANCO E CONTA,Descri_banco,string
DIM_BANCO E CONTA,Nome_banco,string
DIM_Bancos,SK_Banco,Int64
DIM_Bancos,ID_Banco,Int64
DIM_Bancos,NM_Banco,string
DIM_Bancos,NU_CCorrente,string
DIM_Bancos,DT_Reg_Ini,datetime64[ns]
DIM_Bancos,DT_Reg_Fim,datetime64[ns]
DIM_Bancos,ID_Emp,Int64
DIM_Bancos,ID_Finalidade,string
DIM_Bancos,DC_Finalidade,string
DIM_Bancos,SK_Banco2,string
DIM_Bancos,SK_Origem,Int64
DIM_Bancos_2,SK_Banco,Int64
DIM_Bancos_2,ID_Banco,Int64
DIM_Bancos_2,NM_Banco,string
DIM_Bancos_2,NU_CCorrente,string
DIM_Bancos_2,DT_Reg_Ini,datetime64[ns]
DIM_Bancos_2,DT_Reg_Fim,datetime64[ns]
DIM_Bancos_2,ID_Emp,Int64
DIM_Bancos_2,ID_Finalidade,string
DIM_Bancos_2,DC_Finalidade,string
DIM_Bancos_2,SK_Banco2,string
DIM_Bancos_2,SK_Origem,Int64
DIM_CATEGCOMPOSICAO,Cod_comp,string
DIM_CATEGCOMPOSICAO,Descr_comp,string
DIM_CATEGCOMPOSICAO,Categ_comp,string
DIM_CATEGCOMPOSICAO,Status_comp,Int64
DIM_CATEGCOMPOSICAO,Desc_cger,string
DIM_EAP,Item_PL,string
DIM_EAP,ID_Comp,string
DIM_EAP,Desc_Centr_C,string
DIM_EAP,Desc_Centr_C_2,string
DIM_EAP,Desc_Centr_C_3,string
DIM_EAP,ID_Comp_2,string
DIM_EAP,Index,Int64
DIM_EMPRESA,Codigo_emp,Int64
DIM_EMPRESA,Desc_emp,string
DIM_OBRAS,EmpObr2,string
DIM_OBRAS,SK_Obr,Int64
DIM_OBRAS,ID_EmpObr,string
DIM_OBRAS,ID_Obr,string
DIM_OBRAS,DC_Obr,string
DIM_OBRAS,DT_Reg_Ini,datetime64[ns]
DIM_OBRAS,DT_Reg_Fim,datetime64[ns]
DIM_OBRAS,SK_Emp,Int64
DIM_OBRAS,NM_Grupo,string
DIM_OBRAS,CD_Natureza,string
DIM_OBRAS,CD_Interno,string
DIM_OBRAS,NM_ApelidoObr,string
DIM_OBRAS,SG_Estado,string
DIM_OBRAS,NM_Cidade,string
DIM_OBRAS,NM_ApelidoEmp,string
DIM_OBRAS,ID_Emp,Int64
DIM_OBRAS,NM_Fundo,string
DIM_OBRAS,SK_Origem,Int64
DIM_OBRAS,TP_Empresa,string
DIM_PESSOAS,nome_pes,string
DIM_PESSOAS,cod_pes,Int64
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Ano,object
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,MonthNo,object
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Mês,object
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,QuarterNo,object
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Trimestre,object
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Dia,object
FTO_CONTAS,Empresa_banco,Int64
FTO_CONTAS,BCO E CONTA,string
FTO_CONTAS,Numero_banco,Int64
FTO_CONTAS,Conta_banco,string
FTO_CONTAS,Descri_banco,string
FTO_CONTAS,Nome_banco,string
FTO_CONTAS_A_PAGAR,EmpObr,string
FTO_CONTAS_A_PAGAR,Empresa_Des,Int64
FTO_CONTAS_A_PAGAR,Obra_Des,string
FTO_CONTAS_A_PAGAR,NumProc_Des,Int64
FTO_CONTAS_A_PAGAR,DtPgto_Des,datetime64[ns]
FTO_CONTAS_A_PAGAR,NominalProc_Des,string
FTO_CONTAS_A_PAGAR,TotalBruto_Des,Float64
FTO_CONTAS_A_PAGAR,TotalLiq_Des,Float64
FTO_CONTAS_A_PAGAR,CodForn_Des,Int64
FTO_CONTAS_A_PAGAR,ItemProc_Des,string
FTO_CONTAS_A_PAGAR,CompPl_Des,string
FTO_CONTAS_A_PAGAR,InsumoPl_Des,string
FTO_CONTAS_A_PAGAR,TipoProc_Des,Int64
FTO_CONTAS_A_PAGAR,ItemPl_Des,string
FTO_CONTAS_A_PAGAR,ID_Comp,string
FTO_CONTAS_A_PAGAR,Grupo,object
FTO_CONTAS_A_PAGAR,Tipo,object
FTO_ENTRADA,EmpObr,string
FTO_ENTRADA,GRUPO,string
FTO_ENTRADA,Tipo,string
FTO_ENTRADA,Empresa_rec,Int64
FTO_ENTRADA,Obra_Rec,string
FTO_ENTRADA,Cliente,Int64
FTO_ENTRADA,Nome,string
FTO_ENTRADA,Venda,Int64
FTO_ENTRADA,TipoParc,string
FTO_ENTRADA,Num Parc,Int64
FTO_ENTRADA,Valor Dep,Float64
FTO_ENTRADA,Cap_Rec,string
FTO_ENTRADA,BancoDep_Rpg,Int64
FTO_ENTRADA,ContaDep_Rpg,string
FTO_ENTRADA,Data Deposito,datetime64[ns]
FTO_ENTRADA,InsumoPL_des,Int64
FTO_ENTRADA,CategMovFin_Dep,string
FTO_ENTRADA,Categoria_Pr,string
FTO_ENTRADA,Classificação,string
FTO_ENTRADA,SK_Banco,string
FTO_ENTRADA,NM_ApelidoObr,string
FTO_INSUMO GERAL,Cod_ins,string
FTO_INSUMO GERAL,Descr_ins,string
FTO_PLANEJAMENTO,EmpObr,string
FTO_PLANEJAMENTO,Empresa_fsg,Int64
FTO_PLANEJAMENTO,Obra_fsg,string
FTO_PLANEJAMENTO,Prod_fsg,Int64
FTO_PLANEJAMENTO,PlMes_fsg,datetime64[ns]
FTO_PLANEJAMENTO,Total,Float64
FTO_PLANEJAMENTO,Gestao,Int64
FTO_PLANEJAMENTO,Descr_ins,string
FTO_PLANEJAMENTO,Cod_ins,string
FTO_PLANEJAMENTO,Comp_fsg,string
FTO_PLANEJAMENTO,Item_fsg,string
FTO_SAIDA,EmpObr,string
FTO_SAIDA,GRUPO,string
FTO_SAIDA,Tipo,string
FTO_SAIDA,Empresa_des,Int64
FTO_SAIDA,Obra_des,string
FTO_SAIDA,NumProc_des,Int64
FTO_SAIDA,NumParc_des,Int64
FTO_SAIDA,ItemProc_des,string
FTO_SAIDA,DtPgto_des,datetime64[ns]
FTO_SAIDA,Acrescimo_des,Float64
FTO_SAIDA,Desconto_des,Float64
FTO_SAIDA,TotalLiq_des,Float64
FTO_SAIDA,TotalBruto_des,Float64
FTO_SAIDA,Banco_des,Int64
FTO_SAIDA,ContaCorr_des,string
FTO_SAIDA,Cap_des,string
FTO_SAIDA,CategMovFin_Des,string
FTO_SAIDA,Desc_cmf,string
FTO_SAIDA,ChqNome_Des,string
FTO_SAIDA,NumChq_Des,string
FTO_SAIDA,DataVencParc_Des,datetime64[ns]
FTO_SAIDA,DATADOC,datetime64[ns]
FTO_SAIDA,InsumoPL_des,string
FTO_SAIDA,CodForn_Des,Int64
FTO_SAIDA,TipoProc_des,Int64
FTO_SAIDA,ItemPL_des,string
FTO_SAIDA,CompPL_des,string
FTO_SALDOBANCARIO,Empresa_sdcc,Int64
FTO_SALDOBANCARIO,EmpBcoConta,string
FTO_SALDOBANCARIO,Banco_sdcc,Int64
FTO_SALDOBANCARIO,Conta_sdcc,string
FTO_SALDOBANCARIO,Data_sdcc,datetime64[ns]
FTO_SALDOBANCARIO,Saldo_sdcc,Float64
FTO_SALDOBANCARIO,Calculado_sdcc,Int64
FTO_SALDOBANCARIO,Personalizar,string
FTO_TRANSFERENCIA,GRUPO,string
FTO_TRANSFERENCIA,Tipo,string
FTO_TRANSFERENCIA,Empresa,Int64
FTO_TRANSFERENCIA,Documento,string
FTO_TRANSFERENCIA,Data,datetime64[ns]
FTO_TRANSFERENCIA,Banco,Int64
FTO_TRANSFERENCIA,ContaCorrente,string
FTO_TRANSFERENCIA,Valor,Float64
FTO_TRANSFERENCIA,Obs,string
FTO_TRANSFERENCIA,Descri_banco,string
FTO_TRANSFERENCIA,Historico,string
FTO_TRANSFERENCIA,BancoConta,string
FTO_TRANSFERENCIA,CategMovFin_tb,string
FTO_TRANSFERENCIA,id,string
FTO_TRANSFERENCIA,EmpBcoConta,string
G_GRUPOS,Grupo,string
G_GRUPOS,Tipo,string
G_GRUPOS,Agrupado,string
