TableName,ColumnName,PandasDataType
Contas Recebidas,EmpObr,string
Contas Recebidas,GRUPO,string
Contas Recebidas,Tipo,string
Contas Recebidas,Cliente,Int64
Contas Recebidas,Nome,string
Contas Recebidas,Venda,Int64
Contas Recebidas,TipoParc,string
Contas Recebidas,Num Parc,Int64
Contas Recebidas,Valor Dep,Float64
Contas Recebidas,Data Deposito,datetime64[ns]
Contas Recebidas,InsumoPL_des,Int64
Contas Recebidas,Categoria_Pr,string
Contas Recebidas,empresa_rec,Int64
Contas Recebidas,obra_rec,string
Contas Recebidas,cap_rec,string
Contas Recebidas,bancodep_rpg,Int64
Contas Recebidas,contadep_rpg,string
Contas Recebidas,categmovfin_dep,string
Contas a Pagar,IDPagar,string
Contas a Pagar,EmpObr,string
Contas a Pagar,Empresa,Int64
Contas a Pagar,Nome Empresa,string
Contas a Pagar,Obra,string
Contas a Pagar,Nome Obra,string
Contas a Pagar,Processo,Int64
Contas a Pagar,Parcela,Int64
Contas a Pagar,Vencimento,datetime64[ns]
Contas a Pagar,Prorrogação,datetime64[ns]
Contas a Pagar,Nominal,string
Contas a Pagar,ValPagar,Float64
Contas a Pagar,Número Doc,string
Contas a Pagar,Valor Doc,Float64
Contas a Pagar,CodForn_Proc,Int64
Contas a Pagar,CategMovFin_Proc,string
Contas a Pagar,CodInsProc_Item,string
Contas a Pagar,TipoDoc_Proc,Int64
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Ano,object
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,MonthNo,object
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Mês,object
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,QuarterNo,object
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Trimestre,object
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Dia,object
EmissaoPagamentos,CodEmpresa,Int64
EmissaoPagamentos,CodObra,string
EmissaoPagamentos,NumProc,Int64
EmissaoPagamentos,NumCot,Int64
EmissaoPagamentos,OrdemCompra,Int64
EmissaoPagamentos,Contrato,Int64
EmissaoPagamentos,CodigoMedicao,Int64
EmissaoPagamentos,RiscoSacado,string
EmissaoPagamentos,Usuario,string
EmissaoPagamentos,CodFornecedor,Int64
EmissaoPagamentos,DataProcesso,datetime64[ns]
EmissaoPagamentos,TipoDoc_Proc,Int64
EmissaoPagamentos,TipoOrigem,string
EmissaoPagamentos,IntExt_Proc,string
EmissaoPagamentos,Contato_Proc,string
EmissaoPagamentos,EmpPaga_Proc,Int64
EmissaoPagamentos,EmpFatura_Proc,Int64
EmissaoPagamentos,CategProc_proc,string
EmissaoPagamentos,Anexos_proc,Int64
EmissaoPagamentos,NumEnt_Proc,Int64
EmissaoPagamentos,NomeBanco,string
EmissaoPagamentos,DescriCCorrente,string
EmissaoPagamentos,NomeFornecedor,string
EmissaoPagamentos,CnpjCpf,string
EmissaoPagamentos,NomeFantFornecedor,string
EmissaoPagamentos,TipoJuro_ProcPar,Int64
EmissaoPagamentos,Num_nfe,Int64
EmissaoPagamentos,Descr_csf,string
EmissaoPagamentos,CodigoCsrf_csf,string
EmissaoPagamentos,EmpresaProcPaiReemb_ProcPar,Int64
EmissaoPagamentos,Codigo_cger,string
EmissaoPagamentos,Desc_cger,string
EmissaoPagamentos,Empresa_proc,Int64
EmissaoPagamentos,Obra_Proc,string
EmissaoPagamentos,Num_Proc,Int64
EmissaoPagamentos,NumParc_Proc,Int64
EmissaoPagamentos,DataVencimento,datetime64[ns]
EmissaoPagamentos,DataProrrogacao,datetime64[ns]
EmissaoPagamentos,ValorProcesso,Float64
EmissaoPagamentos,ProvParc_Proc,Int64
EmissaoPagamentos,StatusAprovProcesso,string
EmissaoPagamentos,VlDocFisc_Proc,Float64
EmissaoPagamentos,PrioParc_Proc,Int64
EmissaoPagamentos,ConfEmissao_Proc,Int64
EmissaoPagamentos,TipoChq_Proc,string
EmissaoPagamentos,ChqNome_Proc,string
EmissaoPagamentos,AcrescParc_Proc,Float64
