TableName,ColumnName,Expression
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Ano,YEAR([Date])
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,MonthNo,MONTH([Date])
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Mês,"FORMAT([Date], ""MMMM"")"
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,QuarterNo,INT(([MonthNo] + 2) / 3)
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Trimestre,"""Trim "" & [QuarterNo]"
DateTableTemplate_efb794ca-a0b7-492c-9045-c83925b04097,Dia,DAY([Date])
LocalDateTable_d954ebb1-b5cd-4616-b063-aceae34da29b,Ano,YEAR([Date])
LocalDateTable_d954ebb1-b5cd-4616-b063-aceae34da29b,MonthNo,MONTH([Date])
LocalDateTable_d954ebb1-b5cd-4616-b063-aceae34da29b,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_d954ebb1-b5cd-4616-b063-aceae34da29b,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_d954ebb1-b5cd-4616-b063-aceae34da29b,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_d954ebb1-b5cd-4616-b063-aceae34da29b,Dia,DAY([Date])
LocalDateTable_2e526964-956a-400a-837a-0f7211a9234a,Ano,YEAR([Date])
LocalDateTable_2e526964-956a-400a-837a-0f7211a9234a,MonthNo,MONTH([Date])
LocalDateTable_2e526964-956a-400a-837a-0f7211a9234a,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_2e526964-956a-400a-837a-0f7211a9234a,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_2e526964-956a-400a-837a-0f7211a9234a,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_2e526964-956a-400a-837a-0f7211a9234a,Dia,DAY([Date])
LocalDateTable_af255ae8-b71b-41b4-a77f-7ca013722335,Ano,YEAR([Date])
LocalDateTable_af255ae8-b71b-41b4-a77f-7ca013722335,MonthNo,MONTH([Date])
LocalDateTable_af255ae8-b71b-41b4-a77f-7ca013722335,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_af255ae8-b71b-41b4-a77f-7ca013722335,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_af255ae8-b71b-41b4-a77f-7ca013722335,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_af255ae8-b71b-41b4-a77f-7ca013722335,Dia,DAY([Date])
LocalDateTable_c08c1cad-68f7-4e56-ba07-ab57f40d276d,Ano,YEAR([Date])
LocalDateTable_c08c1cad-68f7-4e56-ba07-ab57f40d276d,MonthNo,MONTH([Date])
LocalDateTable_c08c1cad-68f7-4e56-ba07-ab57f40d276d,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_c08c1cad-68f7-4e56-ba07-ab57f40d276d,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_c08c1cad-68f7-4e56-ba07-ab57f40d276d,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_c08c1cad-68f7-4e56-ba07-ab57f40d276d,Dia,DAY([Date])
LocalDateTable_da2c0fe6-e6b7-4169-8b50-777b5f6730d2,Ano,YEAR([Date])
LocalDateTable_da2c0fe6-e6b7-4169-8b50-777b5f6730d2,MonthNo,MONTH([Date])
LocalDateTable_da2c0fe6-e6b7-4169-8b50-777b5f6730d2,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_da2c0fe6-e6b7-4169-8b50-777b5f6730d2,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_da2c0fe6-e6b7-4169-8b50-777b5f6730d2,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_da2c0fe6-e6b7-4169-8b50-777b5f6730d2,Dia,DAY([Date])
LocalDateTable_7b3769d0-cd22-4316-b163-3a821ad8acff,Ano,YEAR([Date])
LocalDateTable_7b3769d0-cd22-4316-b163-3a821ad8acff,MonthNo,MONTH([Date])
LocalDateTable_7b3769d0-cd22-4316-b163-3a821ad8acff,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_7b3769d0-cd22-4316-b163-3a821ad8acff,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_7b3769d0-cd22-4316-b163-3a821ad8acff,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_7b3769d0-cd22-4316-b163-3a821ad8acff,Dia,DAY([Date])
LocalDateTable_aeb8b2b7-3b0f-485d-9aef-72c14ebe2cee,Ano,YEAR([Date])
LocalDateTable_aeb8b2b7-3b0f-485d-9aef-72c14ebe2cee,MonthNo,MONTH([Date])
LocalDateTable_aeb8b2b7-3b0f-485d-9aef-72c14ebe2cee,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_aeb8b2b7-3b0f-485d-9aef-72c14ebe2cee,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_aeb8b2b7-3b0f-485d-9aef-72c14ebe2cee,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_aeb8b2b7-3b0f-485d-9aef-72c14ebe2cee,Dia,DAY([Date])
LocalDateTable_8305f3f4-9ab1-4278-a72e-25b5c45eaf3d,Ano,YEAR([Date])
LocalDateTable_8305f3f4-9ab1-4278-a72e-25b5c45eaf3d,MonthNo,MONTH([Date])
LocalDateTable_8305f3f4-9ab1-4278-a72e-25b5c45eaf3d,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_8305f3f4-9ab1-4278-a72e-25b5c45eaf3d,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_8305f3f4-9ab1-4278-a72e-25b5c45eaf3d,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_8305f3f4-9ab1-4278-a72e-25b5c45eaf3d,Dia,DAY([Date])
Teste,Saldo_Atual,"
    LOOKUPVALUE(
        'Saldos Gerenciais'[Saldo_sdcc],
        'Saldos Gerenciais'[Descri_banco], Teste[Descri_banco],
        'Saldos Gerenciais'[Nome_banco], Teste[Nome_banco],
        'Saldos Gerenciais'[Empresa_sdcc], Teste[Empresa_sdcc],
        'Saldos Gerenciais'[Data_sdcc], Teste[Data],
        'Saldos Gerenciais'[Conta_sdcc], Teste[Conta_sdcc]
    )"
LocalDateTable_8d2f1d0d-cc83-4ff7-985f-cc0c6171733b,Ano,YEAR([Date])
LocalDateTable_8d2f1d0d-cc83-4ff7-985f-cc0c6171733b,MonthNo,MONTH([Date])
LocalDateTable_8d2f1d0d-cc83-4ff7-985f-cc0c6171733b,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_8d2f1d0d-cc83-4ff7-985f-cc0c6171733b,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_8d2f1d0d-cc83-4ff7-985f-cc0c6171733b,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_8d2f1d0d-cc83-4ff7-985f-cc0c6171733b,Dia,DAY([Date])
LocalDateTable_b556b1f7-8bfa-45c8-8f2a-fae0036ae96a,Ano,YEAR([Date])
LocalDateTable_b556b1f7-8bfa-45c8-8f2a-fae0036ae96a,MonthNo,MONTH([Date])
LocalDateTable_b556b1f7-8bfa-45c8-8f2a-fae0036ae96a,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_b556b1f7-8bfa-45c8-8f2a-fae0036ae96a,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_b556b1f7-8bfa-45c8-8f2a-fae0036ae96a,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_b556b1f7-8bfa-45c8-8f2a-fae0036ae96a,Dia,DAY([Date])
LocalDateTable_7a9e799e-1e5b-47f4-97db-03324e6a8608,Ano,YEAR([Date])
LocalDateTable_7a9e799e-1e5b-47f4-97db-03324e6a8608,MonthNo,MONTH([Date])
LocalDateTable_7a9e799e-1e5b-47f4-97db-03324e6a8608,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_7a9e799e-1e5b-47f4-97db-03324e6a8608,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_7a9e799e-1e5b-47f4-97db-03324e6a8608,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_7a9e799e-1e5b-47f4-97db-03324e6a8608,Dia,DAY([Date])
LocalDateTable_a198fd7a-fd3c-4e79-9fde-80ddd1a1c5d7,Ano,YEAR([Date])
LocalDateTable_a198fd7a-fd3c-4e79-9fde-80ddd1a1c5d7,MonthNo,MONTH([Date])
LocalDateTable_a198fd7a-fd3c-4e79-9fde-80ddd1a1c5d7,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_a198fd7a-fd3c-4e79-9fde-80ddd1a1c5d7,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_a198fd7a-fd3c-4e79-9fde-80ddd1a1c5d7,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_a198fd7a-fd3c-4e79-9fde-80ddd1a1c5d7,Dia,DAY([Date])
LocalDateTable_c38f5454-bf7c-4da7-921c-6f29d4153052,Ano,YEAR([Date])
LocalDateTable_c38f5454-bf7c-4da7-921c-6f29d4153052,MonthNo,MONTH([Date])
LocalDateTable_c38f5454-bf7c-4da7-921c-6f29d4153052,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_c38f5454-bf7c-4da7-921c-6f29d4153052,QuarterNo,INT(([MonthNo] + 2) / 3)
