TableName,ColumnName,Expression
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Ano,YEAR([Date])
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,MonthNo,MONTH([Date])
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Mês,"FORMAT([Date], ""MMMM"")"
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,QuarterNo,INT(([MonthNo] + 2) / 3)
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Trimestre,"""Trim "" & [QuarterNo]"
DateTableTemplate_fc8e61d3-66a0-46ce-bb27-9231096d58cf,Dia,DAY([Date])
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Ano,YEAR([Date])
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,MonthNo,MONTH([Date])
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_268fb42e-6c17-4eeb-a6d4-f1317292a729,Dia,DAY([Date])
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Ano,YEAR([Date])
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,MonthNo,MONTH([Date])
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_40d7a0c4-37d4-4635-ab0d-a716840068f9,Dia,DAY([Date])
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Ano,YEAR([Date])
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,MonthNo,MONTH([Date])
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,QuarterNo,INT(([MonthNo] + 2) / 3)
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Trimestre,"""Trim "" & [QuarterNo]"
LocalDateTable_16afc027-9966-4575-a4b0-028555a6b4d2,Dia,DAY([Date])
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,Ano,YEAR([Date])
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,MonthNo,MONTH([Date])
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,Mês,"FORMAT([Date], ""MMMM"")"
LocalDateTable_507f675c-5f30-4be8-b4e5-cbdcb2b4c6ff,QuarterNo,INT(([MonthNo] + 2) / 3)
